Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;Age;Repair Threshold Status
23;10/28/19;1095576;3;ENG;Australia;10;L;Sart jacket men;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;front panels, hood;;;;;;;;;;;;;No;Yes;0;Repair;shell;4;below
411;12/30/19;1115507;3;EN;Australia;10;L;Ionian ar jacket women;2009;2_Good;No;WBW 3L Membrane;arm pits, front panels, cuffs, ;;;;;;;;;;;;;;;;;;;;;;all, ;neck, both cufs.;;;;;No;Yes;1005;Replacement;shell;10;above
502;1/16/20;866614;1;EN;Australia;2;XL;Atlantis sv jacket men;2004;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;cuffs lining, pocket bags, lam pocket, all zippers, hood facing, powder skirt, neck pad, hood cord tunnel,;all, ;both cuffs, pocke tbag donuts, ;;;;;No;Yes;11;30% Discount;shell;16;above
503;1/16/20;866614;2;EN;Australia;2;S;Atlantis sv jacket women;2004;1_Used;No;WBW 3L Membrane;front panel, shoulders, arm pit, neck, ;;;;;;;;;;;;;;;;;;main zipper, ;;;cuffs lining, pocket bags, lam pocket, all zippers, hood facing, powder skirt, neck pad, hood cord tunnel,;all, ;both cuffs, pocke tbag donuts, ;;;;;No;Yes;1011;30% Discount;shell;16;above
5;10/24/19;1092284;1;ENG;New Zealand;10;XXL;Atlantis sl hybrid jacket men;2012;1_Used;No;WBW 3L Membrane;all over;;;;;;;;;;;;;;;;;;;;;All;All;;;;;;No;Yes;1006;30% Discount;shell;7;above
6;10/24/19;1092284;2;ENG;New Zealand;10;M;Boreal ar jacket men;2011;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;Everywhere;;;;Main zipper;All;All;Neck;;;;;No;Yes;9;30% Discount;shell;8;below
22;10/28/19;1095576;2;ENG;Australia;10;M;Bering sv jacket men;2011;2_Good;No;WBW 3L Membrane;;;;;;;right arm pit, ;right elbow, ;;left cuff;right cuff;;;;;front panels,;;;;;;chest pocket zippers, ;;;;;;;No;Yes;9;Repair;shell;8;below
45;10/30/19;1095757;1;EN;Australia;10;L;Mediterranean sv women;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;all over;;;;;Replace main zipper slider;;;;tuck and saw both cuffs, ;;;;No;Yes;1;Repair;shell;6;below
46;10/30/19;1095757;2;EN;Australia;10;S;Ionian ar jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;both cuffs, arm pit;;;;;;;;;;;right hand pocket, ;all pocket zippers (except arm pocket), hood facing, ;all including donuts inside hand pockets;arm pit and pocket bags donuts, neck, ;;;;;No;Yes;9;Repair;shell;8;below
43;10/30/19;1096252;1;EN;Australia;10;XXL;Mediterranean lt jacket men;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;replace main zipper slider;;;;;;tuck and saw both cuffs, restitch right hand pockets bottom;;;;No;Yes;3;Repair;shell;6;below
42;10/30/19;1096252;2;EN;Australia;10;XL;Ionian ar jacket men;2010;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;arm pit;;;;;;all, including donuts inside pockets;neck, pocket bags donuts, both cuffs;;;;;No;Yes;5;Repair;shell;9;below
143;11/14/19;1098568;1;EN;New Zealand;10;S;Ionian ar jacket women;2007;3_Excellent;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;all zippers, laminated pocket, pocket bags, ;all including inside pocket donuts, ;pocket donut, ;;;;;No;Yes;11;Repair;shell;12;above
144;11/14/19;1098568;2;EN;New Zealand;10;XS;Barents lt jacket women;2009;3_Excellent;No;K Fleece;;;;;;;;;;;;;;;;;;;main zipper,;;;laminated pocket, pocket bags, neck pad, ;;pocket bag sdonuts, ;;;;;No;Yes;8;Repair;shell;10;below
232;11/28/19;1102728;1;EN;Australia;10;L;Mediterranean ar women;2014;2_Good;No;K Fleece;;;;;;;;;;;;;;;;;;;;;main zipper, ;;;;riht and left hand pocket ends, ;;;;No;Yes;1;Repair;shell;5;below
233;11/28/19;1102728;2;EN;Australia;10;L;Boreal ar jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;;;;all zippers, hood facing, left laminated pocket, ;all 70D,;right cuff, left cuff, neck, ;;;;;No;Yes;8;Repair;shell;8;below
200;11/22/19;1106309;1;EN;Australia;10;S;Boreal ar jacket men;2014;2_Good;No;WBW 3L Membrane;Shoulders,;;;;;;;;;;;both anckles,;;;;;;;;;;;;;;;;;No;Yes;1006;Replacement;shell;5;above
201;11/22/19;1106309;2;EN;Australia;10;S;Boreal ar jacket men;2014;2_Good;No;WBW 3L Membrane;Shoulders,;;;;;;;;;;;both anckles,;;;;;;;;;;;;;;;;;No;Yes;1006;Replacement;shell;5;above
210;11/25/19;1109213;1;EN;Australia;10;M;Labrador jacket women;2013;2_Good;No;WBW 3L Membrane;neck, hood, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;6;above
209;11/25/19;1109213;2;EN;Australia;10;M;Labrador sv jacket men;2013;2_Good;No;WBW 3L Membrane;hoodm back, arm pit, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;6;above
236;11/28/19;1109324;1;EN;Australia;10;M;Tasman lt men;2014;2_Good;No;Down Loft;;;;;;;;lower right front panel, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;50% Discount;shell;5;below
237;11/28/19;1109324;2;EN;Australia;10;M;Bering sv jacket men;2003;2_Good;No;WBW 3L Membrane;;;;;;;;lower right front panel, ;;;;;;;;;;;;;;;;;;;;;No;Yes;3;30% Discount;shell;16;below
261;12/3/19;1110710;1;EN;Australia;10;L;Boreal lt jacket women;2008;3_Excellent;No;WBW 3L Membrane;right cuff, left cuff, neck, ;;;;;;;;;;;;;;;;;;;;;laminated pocket,;all, ;both cuffs, pocket bags donuts, nekc, arm pit, ;;;;;No;Yes;1008;Replacement;shell;11;above
262;12/3/19;1110710;2;EN;Australia;10;L;Ionian ar jacket women;2010;3_Excellent;No;WBW 3L Membrane;Neck,;;;;;;;;;;;;;;;;;neck, ;;;;lam pocket, ;all, ;neck, ;;;;;No;Yes;1008;Replacement;shell;9;above
243;11/29/19;1112647;1;EN;Australia;10;WS;Boreal ar jacket women;2017;2_Good;No;WBW 3L Membrane;upper back, left shoulder, right shoulder, right arm pit zipper, left arm pit zipper, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;No;Yes;1000;Replacement;shell;2;above
