Column1;Date;Case Number;ItemInCase;Language;Country;Repairability Index;Size;Model name;Year;General condition;Wash;Fabric;Fabric failure - Membrane delamination;Fabric failure - Leak through;Fabric failure - Wetting out;Fabric failure - Down leakage;Fabric failure - Fading;Fabric failure - Pilling;Fabric torn - Rips - Patchable;Fabric torn - Rips - Not patchable - 1 panel;Fabric torn - Rips - Not patchable - X panels;Fabric torn - Abrasion - Light;Fabric torn - Abrasion - Heavy - 1 panel;Fabric torn - Abrasion - Heavy - X panels;Fabric torn - Burn - Patchable - ;Fabric torn - Burn - Not patchable - 1 panel;Fabric torn - Burn - Not patchable - X panels;Fabric torn - Stain;Fabric torn - Membrane contamination - Light;Fabric torn - Membrane contamination - Heavy;Zipper failure - Zipper structureMain;Zipper failure - Zipper structureAll except main;Zipper failure - Zipper slider;Delamination - Press;Delamination - 70D Nylon;Delamination - Seam tape;Seam failure - Seam sewn non-WBW Membrane;Delamination - Seam sewn WBW Membrane;Delamination - Seam laminated;Other - Buckle;Known_issue;Repair solution;Repair Threshold;Customer Offer;Product_type;reasonofissue;Age;Repair Threshold Status;typeoffailure;misusetype
23;10/28/19;695576;3;ENG;Australia;10;L;Sart jacket men;2015;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;front panels, hood;;;;;;;;;;;;;No;Yes;0;Repair;shell;misuse;4;below;nofailure;contaminated
411;12/30/19;715507;3;EN;Australia;10;L;Ionian ar jacket women;2009;2_Good;No;WBW 3L Membrane;arm pits, front panels, cuffs, ;;;;;;;;;;;;;;;;;;;;;;all, ;neck, both cufs.;;;;;No;Yes;1005;Replacement;shell;manufacturing_issue;10;above;fabric_failureANDconstruction_failure;notmisused
502;1/16/20;466614;1;EN;Australia;2;XL;Atlantis sv jacket men;2004;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;main zipper, ;;;cuffs lining, pocket bags, lam pocket, all zippers, hood facing, powder skirt, neck pad, hood cord tunnel,;all, ;both cuffs, pocke tbag donuts, ;;;;;No;Yes;11;30% Discount;shell;manufacturing_issue;16;above;construction_failure;notmisused
503;1/16/20;466614;2;EN;Australia;2;S;Atlantis sv jacket women;2004;1_Used;No;WBW 3L Membrane;front panel, shoulders, arm pit, neck, ;;;;;;;;;;;;;;;;;;main zipper, ;;;cuffs lining, pocket bags, lam pocket, all zippers, hood facing, powder skirt, neck pad, hood cord tunnel,;all, ;both cuffs, pocke tbag donuts, ;;;;;No;Yes;1011;30% Discount;shell;manufacturing_issue;16;above;fabric_failureANDconstruction_failure;notmisused
5;10/24/19;692284;1;ENG;New Zealand;10;XXL;Atlantis sl hybrid jacket men;2012;1_Used;No;WBW 3L Membrane;all over;;;;;;;;;;;;;;;;;;;;;All;All;;;;;;No;Yes;1006;30% Discount;shell;manufacturing_issue;7;above;fabric_failureANDconstruction_failure;notmisused
6;10/24/19;692284;2;ENG;New Zealand;10;M;Boreal ar jacket men;2011;1_Used;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;Everywhere;;;;Main zipper;All;All;Neck;;;;;No;Yes;9;30% Discount;shell;manufacturing_issueANDmisuse;8;below;construction_failure;contaminated
22;10/28/19;695576;2;ENG;Australia;10;M;Bering sv jacket men;2011;2_Good;No;WBW 3L Membrane;;;;;;;right arm pit, ;right elbow, ;;left cuff;right cuff;;;;;front panels,;;;;;;chest pocket zippers, ;;;;;;;No;Yes;9;Repair;shell;manufacturing_issueANDmisuse;8;below;construction_failure;damagedandcontaminated
45;10/30/19;695757;1;EN;Australia;10;L;Mediterranean sv women;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;all over;;;;;Replace main zipper slider;;;;tuck and saw both cuffs, ;;;;No;Yes;1;Repair;shell;manufacturing_issueANDmisuse;6;below;construction_failure;contaminated
46;10/30/19;695757;2;EN;Australia;10;S;Ionian ar jacket women;2011;2_Good;No;WBW 3L Membrane;;;;;;;;;;both cuffs, arm pit;;;;;;;;;;;right hand pocket, ;all pocket zippers (except arm pocket), hood facing, ;all including donuts inside hand pockets;arm pit and pocket bags donuts, neck, ;;;;;No;Yes;9;Repair;shell;manufacturing_issueANDmisuse;8;below;construction_failure;damaged
43;10/30/19;696252;1;EN;Australia;10;XXL;Mediterranean lt jacket men;2013;2_Good;No;WBW 3L Membrane;;;;;;;;;;;;;;;;;;;replace main zipper slider;;;;;;tuck and saw both cuffs, restitch right hand pockets bottom;;;;No;Yes;3;Repair;shell;manufacturing_issue;6;below;construction_failure;notmisused
